# topic=package-update-19-close-incident
# time=2026-09-12T17:47:41+00:00
$ uname -a
Linux localhost 6.18.35 #1 SMP Mon Aug 31 18:10:37 UTC 2026 x86_64 GNU/Linux
$ id
uid=0(root) gid=0(root) groups=0(root)
$ dpkg-query -W
adduser	3.152
libgvc6	2.42.4-3
libgvc6-plugins-gtk	2.42.4-3
libgvpr2:amd64	2.42.4-3
libhandy-1-0:amd64	1.8.3-2
libharfbuzz-icu0:amd64	10.2.0-1+b1
libharfbuzz-subset0:amd64	10.2.0-1+b1
libharfbuzz0b:amd64	10.2.0-1+b1
libhdf4-0-alt:amd64	4.3.0-1+b1
libhdf4-alt-dev	4.3.0-1+b1
libhdf5-310:amd64	1.14.5+repack-3
libhdf5-cpp-310:amd64	1.14.5+repack-3
libhdf5-dev	1.14.5+repack-3
libhdf5-fortran-310:amd64	1.14.5+repack-3
libhdf5-hl-310:amd64	1.14.5+repack-3
libhdf5-hl-cpp-310:amd64	1.14.5+repack-3
libhdf5-hl-fortran-310:amd64	1.14.5+repack-3
libheif-dev:amd64	1.19.8-1
libheif-plugin-dav1d:amd64	1.19.8-1
libheif-plugin-libde265:amd64	1.19.8-1
libheif1:amd64	1.19.8-1
libhogweed6t64:amd64	3.10.1-1
libhsqldb1.8.0-java	1.8.0.10+dfsg-12.1+deb13u1
libhunspell-1.7-0:amd64	1.7.2+really1.7.2-10+b4
libhwasan0:amd64	14.2.0-19
libhwy1t64:amd64	1.2.0-2+b2
libhyphen0:amd64	2.8.8-7+b2
libice-dev:amd64	2:1.1.1-1
libice6:amd64	2:1.1.1-1
libicu-dev:amd64	76.1-4
libicu76:amd64	76.1-4
libid3tag0:amd64	0.16.3-1
libidn12:amd64	1.43-1
libidn2-0:amd64	2.3.8-2
libidn2-dev:amd64	2.3.8-2
libiec61883-0:amd64	1.2.0-7
libijs-0.35:amd64	0.35-15.2
libimagequant0:amd64	2.18.0-1+b2
libimath-3-1-29t64:amd64	3.1.12-1+b3
libimlib2t64:amd64	1.12.4-2
libinotifytools0:amd64	4.23.9.0-2+b1
libinput-bin	1.28.1-1+deb13u1
libinput10:amd64	1.28.1-1+deb13u1
libinstpatch-1.0-2:amd64	1.1.6-1+b2
libisl23:amd64	0.27-1
libitext-java	2.1.7-16
libitm1:amd64	14.2.0-19
libjack-jackd2-0:amd64	1.9.22~dfsg-4
libjansson4:amd64	2.14-2+b3
libjaxp1.3-java	1.3.05-6
libjbig-dev:amd64	2.1-6.1+b2
libjbig0:amd64	2.1-6.1+b2
libjbig2dec0:amd64	0.20-1+b3
libjcommon-java	1.0.24+ds-2
libjemalloc2:amd64	5.3.0-3
libjpeg-dev:amd64	1:2.1.5-4
libjpeg62-turbo:amd64	1:2.1.5-4
libjpeg62-turbo-dev:amd64	1:2.1.5-4
libjq1:amd64	1.7.1-6+deb13u1
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-sphinxdoc	8.1.3-5
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c-dev:amd64	0.18+ds-1
libjson-c5:amd64	0.18+ds-1
libjson-glib-1.0-0:amd64	1.10.6+ds-2
libjson-glib-1.0-common	1.10.6+ds-2
libjsoncpp26:amd64	1.9.6-3
libjsp-api-java	2.3.4-3
libjxl0.11:amd64	0.11.1-4
libk5crypto3:amd64	1.21.3-5+deb13u1
libkadm5clnt-mit12:amd64	1.21.3-5+deb13u1
libkadm5srv-mit12:amd64	1.21.3-5+deb13u1
libkdb5-10t64:amd64	1.21.3-5+deb13u1
libkeyutils1:amd64	1.6.3-6
libklibc:amd64	2.0.14-1
libkml-dev:amd64	1.3.0-12+b2
libkmlbase1t64:amd64	1.3.0-12+b2
libkmlconvenience1t64:amd64	1.3.0-12+b2
libkmldom1t64:amd64	1.3.0-12+b2
libkmlengine1t64:amd64	1.3.0-12+b2
libkmlregionator1t64:amd64	1.3.0-12+b2
libkmlxsd1t64:amd64	1.3.0-12+b2
libkmod2:amd64	34.2-2
libkrb5-3:amd64	1.21.3-5+deb13u1
libkrb5-dev:amd64	1.21.3-5+deb13u1
libkrb5support0:amd64	1.21.3-5+deb13u1
libksba8:amd64	1.6.7-2+b1
liblab-gamut1:amd64	2.42.4-3
liblangtag-common	0.6.7-1
liblangtag1:amd64	0.6.7-1+b2
liblapack-dev:amd64	3.12.1-6
liblapack3:amd64	3.12.1-6
liblastlog2-2:amd64	2.41-5
liblayout-java	0.2.10-5
liblc3-1:amd64	1.1.3+dfsg-1
liblcms2-2:amd64	2.16-2
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-5
libldap-dev:amd64	2.6.10+dfsg-1
libldap2:amd64	2.6.10+dfsg-1
libleptonica-dev	1.84.1-4
libleptonica6:amd64	1.84.1-4
liblerc-dev:amd64	4.0.0+ds-5
liblerc4:amd64	4.0.0+ds-5
liblibreoffice-java	4:25.2.3-2+deb13u3
liblilv-0-0:amd64	0.24.26-1
libllvm19:amd64	1:19.1.7-3+b1
libloader-java	1.1.6.dfsg-5
liblocale-gettext-perl	1.07-7+b1
liblrdf0:amd64	0.6.1-4+b2
liblsan0:amd64	14.2.0-19
libltc11:amd64	1.3.2-1+b2
libltdl-dev:amd64	2.5.4-4
libltdl7:amd64	2.5.4-4
liblua5.4-0:amd64	5.4.7-1+b2
liblz4-1:amd64	1.10.0-4
liblz4-dev:amd64	1.10.0-4
liblzma-dev:amd64	5.8.1-1+deb13u1
liblzma5:amd64	5.8.1-1+deb13u1
liblzo2-2:amd64	2.10-3+b1
libmad0:amd64	0.15.1b-11+b1
libmagic-mgc	1:5.46-5
libmagic1t64:amd64	1:5.46-5
libmail-java	1.6.5-3
libmariadb-dev	1:11.8.6-0+deb13u1
libmariadb-dev-compat	1:11.8.6-0+deb13u1
libmariadb3:amd64	1:11.8.6-0+deb13u1
libmbedcrypto16:amd64	3.6.5-0.1~deb13u1
libmd0:amd64	1.1.0-2+b1
libmd4c0:amd64	0.5.2-2+b1
libmhash2:amd64	0.9.9.9-10
libminizip-dev:amd64	1:1.3.dfsg+really1.3.1-1+b1
libminizip1t64:amd64	1:1.3.dfsg+really1.3.1-1+b1
libmjpegutils-2.1-0t64:amd64	1:2.1.0+debian-8.1+b1
libmnl0:amd64	1.0.5-3
libmodplug1:amd64	1:0.8.9.0-3+b2
libmount1:amd64	2.41-5
libmp3lame0:amd64	3.100-6+b3
libmpc3:amd64	1.3.1-1+b3
libmpcdec6:amd64	2:0.1~r495-3
libmpeg2-4:amd64	0.5.1-9+b3
libmpeg2encpp-2.1-0t64:amd64	1:2.1.0+debian-8.1+b1
